paridigitata "Same as Artiodactyla."
plashet "A small pond or pool; a puddle."
perforce "By force; of necessary; at any rate."
ponchos "of Poncho"
resulting "of Result"
marikina "A small marmoset ; the silky tamarin."
dallying "of Dally"
engraved "of Engrave"
skedaddling "of Skedaddle"
volacious "Apt or fit to fly."
tetraphenol "Furfuran."
copped "Rising to a point or head; conical; pointed; crested."
minionette "Small; delicate."
secrecies "of Secrecy"
ungrate "Displeasing; ungrateful; ingrate."
amphibiously "Like an amphibious being."
overgild "To gild over; to varnish."
outjet "That which jets out or projects from anything."
cannicula "The Dog Star; Sirius."
cloudy "Consisting of a cloud or clouds."
arrogancy "Arrogance."
windflower "The anemone; -- so called because formerly supposed to open only when the wind was blowing. See Anemone."
defame "To render infamous; to bring into disrepute."
stablishment "Establishment."
psalterial "Of or pertaining to the psalterium."
co-ally "A joint ally."
logographical "Of or pertaining to logography."
bogglish "Doubtful; skittish."
inspissated "of Inspissate"
bezzle "To plunder; to waste in riot."
quich "To stir."
offension "Assault; attack."
triplication "Same as Surrejoinder."
gloating "of Gloat"
brokenness "The state or quality of being broken; unevenness."
muddy-mettled "Dull-spirited."
cognizor "One who acknowledged the right of the plaintiff or cognizee in a fine; the defendant."
subgeneric "Of or pertaining to a subgenus."
charily "In a chary manner; carefully; cautiously; frugally."
disallowed "of Disallow"
multitudinary "Multitudinous."
hygienist "One versed in hygiene."
syncrisis "A figure of speech in which opposite things or persons are compared."
insteeped "of Insteep"
bubby "A woman's breast."
unty "To untie."
earles "penny Earnest money. Same as Arles penny."
improvision "Improvidence."
interreges "of Interrex"
placidness "The quality or state of being placid."
caution "Security; guaranty; bail."
canaanitish "Of or pertaining to Canaan or the Canaanites."
grogginess "State of being groggy."
degradation "The state or condition of a species or group which exhibits degraded forms; degeneration."
ionic "Of or pertaining to Ionia or the Ionians."
tronator "An officer in London whose duty was to weigh wool."
faradization "The treatment with faradic or induced currents of electricity for remedial purposes."
excarnificate "To clear of flesh; to excarnate."
wolf's-foot "Club moss. See Lycopodium."
dished "of Dish"
adverting "of Advert"
unadvisable "Not advisable; inadvisable; inexpedient."
irresoluble "Incapable of being dissolved or resolved into parts; insoluble."
endeavorment "Act of endeavoring; endeavor."
fervency "The state of being fervent or warm; ardor; warmth of feeling or devotion; eagerness."
mutter "Repressed or obscure utterance."
precant "One who prays."
viperine "Of or pertaining to a viper or vipers; resembling a viper."
prillion "Tin extracted from the slag."
atomicity "Degree of atomic attraction; equivalence; valence; also the number of atoms in an elementary molecule. See Valence."
insurmountably "In a manner or to a degree not to be overcome."
glimpse "A sudden flash; transient luster."
preexistence "Existence of the soul before its union with the body; -- a doctrine held by certain philosophers."
antarthritic "Counteracting or alleviating gout."
bellybound "Costive; constipated."
yellowhammer "The flicker."
auntie "Alt. of Aunty"
beauty "Prevailing style or taste; rage; fashion."
committeeman "A member of a committee."
jacobinism "The principles of the Jacobins; violent and factious opposition to legitimate government."
polypragmatical "Overbusy; officious."
servilely "In a servile manner; slavishly."
myotome "The muscular system of one metamere of an articulate."
encampment "The place where an army or a company is encamped; a camp; tents pitched or huts erected for temporary lodgings."
myelencephalous "Of or pertaining to the Myelencephala."
commiserating "of Commiserate"
anhelation "Short and rapid breathing; a panting; asthma."
undestroyable "Indestructible."
monger "A small merchant vessel."
avenor "See Avener."
finished "of Finish"
puerilely "In a puerile manner; childishly."
effluvia "of Effluvium"
affirm "To assert positively; to tell with confidence; to aver; to maintain as true; -- opposed to deny."
wafering "of Wafer"
disdaining "of Disdain"
unveiler "One who removes a veil."
solenoglyph "Pertaining to the Selenoglypha. See Ophidia."
hanch "See Hanse."
hemstitching "of Hemstitch"
incoherence "Alt. of Incoherency"
gravelled "of Gravel"
anciently "In ancient times."
payor "See Payer."
unwarily "In an unwary manner."
corneas "of Cornea"
barbarize "To become barbarous."
insultation "The act of insulting; abusive or insolent treatment; insult."
deiformity "Likeness to deity."
bestrid "of Bestride"
pretermitting "of Pretermit"
polygastrian "One of the Polygastrica."
languaging "of Language"
posting "of Post"
bush "To branch thickly in the manner of a bush."
shelving "of Shelve"
sivvens "See Sibbens."
depopulating "of Depopulate"
uniformitarianism "The uniformitarian doctrine."
true-blue "A person of inflexible integrity or fidelity."
oversea "Beyond the sea; foreign."
introverted "of Introvert"
piller "One who pills or plunders."
tapestrying "of Tapestry"
abbacies "of Abbacy"
donnism "Self-importance; loftiness of carriage."
bestrew "To strew or scatter over; to besprinkle."
lithoglyph "An engraving on a gem."
governante "A governess."
guiltless "Free from guilt; innocent."
tyrannizing "of Tyrannize"
contubernial "Living or messing together; familiar; in companionship."
uniradiated "Having but one ray."
art "The employment of means to accomplish some desired end; the adaptation of things in the natural world to the uses of life; the application of knowledge or power to practical purposes."
tasselling "of Tassel"
appellor "One who confesses a felony committed and accuses his accomplices."
sanguinarily "In a sanguinary manner."
unknight "To deprive of knighthood."
diphthongization "The act of changing into a diphthong."
certifier "One who certifies or assures."
daguerreotyper "Alt. of Daguerreotypist"
reference "Relation; regard; respect."
skag "An additional piece fastened to the keel of a boat to prevent lateral motion. See Skeg."
roomsome "Roomy."
wicopy "See Leatherwood."
caucusing "of Caucus"
rheometer "An instrument for measuring the velocity of the blood current in the arteries."
strany "The guillemot."
precipitability "The quality or state of being precipitable."
releasable "That may be released."
uliginose "Alt. of Uliginous"
hog "A young sheep that has not been shorn."
pygidia "of Pygidium"
ethology "A treatise on morality; ethics."
musty "Spoiled by age; rank; stale."
foxship "Foxiness; craftiness."
cryptogram "A cipher writing. Same as Cryptograph."
paramour "Love; gallantry."
noticeable "Capable of being observed; worthy of notice; likely to attract observation; conspicous."
paseng "The wild or bezoar goat. See Goat."
supersensitive "Excessively sensitive; morbidly sensitive."
altazimuth "An instrument for taking azimuths and altitudes simultaneously."
moldery "Alt. of Mouldery"
mopish "Dull; spiritless; dejected."
imitancy "Tendency to imitation."
hymnal "A collection of hymns; a hymn book."
pepperwort "See Peppergrass."
depurated "of Depurate"
polysepalous "Having the sepals separate from each other."
spinetail "Any one of several species of South American and Central American clamatorial birds belonging to Synallaxis and allied genera of the family Dendrocolaptidae. They are allied to the ovenbirds."
giddily "In a giddy manner."
divined "of Divine"
toled "of Tole"
cornified "Converted into horn; horny."
outbidder "One who outbids."
seignioral "Of or pertaining to a seignior; seigneurial."
blackwork "Work wrought by blacksmiths; -- so called in distinction from that wrought by whitesmiths."
rament "A scraping; a shaving."
isothere "A line connecting points on the earth's surface having the same mean summer temperature."
amongst "Mixed or mingled; surrounded by."
cliff "See Clef."
bucker "One who bucks ore."
write "To make known by writing; to record; to prove by one's own written testimony; -- often used reflexively."
wreaker "Avenger."
postural "Of or pertaining to posture."
vireton "An arrow or bolt for a crossbow having feathers or brass placed at an angle with the shaft to make it spin in flying."
scroyle "A mean fellow; a wretch."
seducing "of Seduce"
doggrel "Same as Doggerel."
huffiness "The state of being huffish; petulance; bad temper."
mummying "of Mummy"
handmaid "Alt. of Handmaiden"
codling "An apple fit to stew or coddle."
discontentation "Discontent."
propensities "of Propensity"
mahometism "See Mohammedanism."
rhizomata "of Rhizoma"
heremit "Alt. of Heremite"
lageniform "Shaped like a bottle or flask; flag-shaped."
orbitude "Alt. of Orbity"
positional "Of or pertaining to position."
suprabranchial "Situated above the branchiae; -- applied especially to the upper division of the gill cavity of bivalve mollusks."
reveal "To make known ; to unveil; to disclose; to show."
geographies "of Geography"
latency "The state or quality of being latent."
devested "of Devest"
regrating "of Regrate"
herbivore "One of the Herbivora."
periling "of Peril"
flecking "of Fleck"
tappit "hen A hen having a tuft of feathers on her head."
unbeguile "To set free from the influence of guile; to undeceive."
recruited "of Recruit"
perfectly "In a perfect manner or degree; in or to perfection; completely; wholly; throughly; faultlessly."
iatrochemist "A physician who explained or treated diseases upon chemical principles; one who practiced iatrochemistry."
dekameter "Same as Decameter."
good-fellowship "Agreeable companionship; companionableness."
harehound "See Harrier."
etched "of Etch"
interamnian "Situated between rivers."
protomerite "The second segment of one of the Gregarinae."
nowd "The European gray gurnard ."
castigatory "Punitive in order to amendment; corrective."
underpinning "of Underpin"
circumjovial "One of the moons or satellites of the planet Jupiter."
redingote "A long plain double-breasted outside coat for women."
belly-pinched "Pinched with hunger; starved."
splenish "Spleenish."
palatalize "To palatize."
ventricose "Alt. of Ventricous"
broadside "A volley of abuse or denunciation."
spaceless "Without space."
troubled "of Trouble"
catacaustic "A caustic curve formed by reflection of light."
epiboly "Epibolic invagination. See under Invagination."
foxing "of Fox"
supervise "To look over so as to read; to peruse."
districted "of District"
fearnaught "A fearless person."
forthy "Therefore."
ampleness "The state or quality of being ample; largeness; fullness; completeness."
disseminating "of Disseminate"
gendered "of Gender"
supraspinal "Situated above the vertebral column."
reciprocality "The quality or condition of being reciprocal; reciprocalness."
ashantees "of Ashantee"
porcellanous "Porcelaneous."
invalued "Inestimable."
pressly "Closely; concisely."
scoley "To go to school; to study."
bodged "of Bodge"
plod "To travel slowly but steadily; to trudge."
engrain "To incorporate with the grain or texture of anything; to infuse deeply. See Ingrain."
humbugging "of Humbug"
dees "Dice."
solemnly "In a solemn manner; with gravity; seriously; formally."
distitle "To deprive of title or right."
eloping "of Elope"
scintillated "of Scintillate"
exorbitance "Alt. of Exorbitancy"
nonrecurring "Nonrecurrent."
stonework "Work or wall consisting of stone; mason's work of stone."
ingracious "Ungracious; unkind."
self-imposture "Imposture practiced on one's self; self-deceit."
ep- "See Epi-."
cog "To deceive; to cheat; to play false; to lie; to wheedle; to cajole."
postscapular "Of or pertaining to the postscapula; infraspinous."
performed "of Perform"
unconvenient "Inconvenient."
frigate "Any small vessel on the water."
residential "Residing; residentiary."
dinned "of Din"
adeption "An obtaining; attainment."
incremable "Incapable of being burnt; incombustibe."
badger "An itinerant licensed dealer in commodities used for food; a hawker; a huckster; -- formerly applied especially to one who bought grain in one place and sold it in another."
fistulose "Formed like a fistula; hollow; reedlike."
phaseomannite "Same as Inosite."
dismay "To disable with alarm or apprehensions; to depress the spirits or courage of; to deprive or firmness and energy through fear; to daunt; to appall; to terrify."
separatory "Separative."
scaping "of Scape"
allthing "Altogether."
coronary "A small bone in the foot of a horse."
committed "of Commit"
gluttonized "of Gluttonize"
insufficiently "In an insufficient manner or degree; unadequately."
vincentian "Same as Lazarist."
shiny "Bright; luminous; clear; unclouded."
natatores "The swimming birds."
tri/cia "The third order of the Linnaean class Polygamia."
abnodation "The act of cutting away the knots of trees."
granulary "Granular."
inexplicableness "A state of being inexplicable; inexplicability."
deuced "Devilish; excessive; extreme."
brethren "pl. of Brother."
lachrymiform "Having the form of a tear; tear-shaped."
asperous "Rough; uneven."
passively "In a passive manner; inertly; unresistingly."
sense "Perception by the sensory organs of the body; sensation; sensibility; feeling."
maintainable "That maybe maintained."
chalaziferous "Having or bearing chalazas."
tripudiary "Of or pertaining to dancing; performed by dancing."
flipping "of Flip"
distinguishment "Observation of difference; distinction."
cursores "A group of running spiders; the wolf spiders."
somnipathist "A person in a state of somniapathy."
mone "The moon."
toothsome "Grateful to the taste; palatable."
zingaro "A gypsy."
vindicative "Revengeful; vindictive."
condition "Essential quality; property; attribute."
cedry "Of the nature of cedar."
lightened "of Lighten"
bragging "of Brag"
promulgated "of Promulgate"
oppugnation "Opposition."
lapidaries "of Lapidary"
devi "; fem. of Deva. A goddess."
generally "Collectively; as a whole; without omissions."
crenulate "Alt. of Crenulated"
flourish "To use florid language; to indulge in rhetorical figures and lofty expressions; to be flowery."
hexagonally "In an hexagonal manner."
unprop "To remove a prop or props from; to deprive of support."
antibrachium "That part of the fore limb between the brachium and the carpus; the forearm."
overrid "of Override"
discoursing "of Discourse"
sexually "In a sexual manner or relation."
frolicly "In a frolicsome manner; with mirth and gayety."
cimar "See Simar."
oecology "The various relations of animals and plants to one another and to the outer world."
scanting "of Scant"
mooter "A disputer of a mooted case."
bedrabble "To befoul with rain and mud; to drabble."
schisma "An interval equal to half a comma."
slumbered "of Slumber"
vermetid "Any species of vermetus."
calabash "The common gourd ."
levelness "The state or quality of being level."
diving "of Dive"
pillowy "Like a pillow."
embowelling "of Embowel"
cilia "The eyelashes."
curler "A player at the game called curling."
earlet "An earring."
puffery "The act of puffing; bestowment of extravagant commendation."
inflicting "of Inflict"
causatively "In a causative manner."
addendum "A thing to be added; an appendix or addition."
forthright "Straight forward; in a straight direction."
prayer "One who prays; a supplicant."
daughtren "of Daughter"
flattering "of Flatter"
muchness "Greatness; extent."
curser "One who curses."
inexistence "Inherence; subsistence."
bespotting "of Bespot"
chatellany "Same as Castellany."
insanity "The state of being insane; unsoundness or derangement of mind; madness; lunacy."
booklet "A little book."
notation "Literal or etymological signification."
leasable "Such as can be leased."
labidometer "A forceps with a measuring attachment for ascertaining the size of the fetal head."
episternal "Of or pertaining to the episternum."
allective "Alluring."
agriology "Description or comparative study of the customs of savage or uncivilized tribes."
dedicated "of Dedicate"
aesopic "Alt. of Esopic"
stalactitiform "Having the form of a stalactite; stalactiform."
honeycombed "Formed or perforated like a honeycomb."
incuriously "In an curious manner."
coll "To embrace."
boodhism "Same as Buddhism."
oversoon "Too soon."
synod "An ecclesiastic council or meeting to consult on church matters."
coccobacteria "of Coccobacterium"
antiphlogistic "Opposed to the doctrine of phlogiston."
hobbled "of Hobble"
predetermined "of Predetermine"
anacathartic "Producing vomiting or expectoration."
brainless "Without understanding; silly; thoughtless; witless."
spirometry "The act or process of measuring the chest capacity by means of a spirometer."
phyla "of Phylon"
adduction "The act of adducing or bringing forward."
schilerization "The act or process of producing schiller in a mineral mass."
waketime "Time during which one is awake."
concause "A joint cause."
sanatory "Conducive to health; tending to cure; healing; curative; sanative."
sectionize "To form into sections."
skinned "of Skin"
placentious "Pleasing; amiable."
ecoute "One of the small galleries run out in front of the glacis. They serve to annoy the enemy's miners."
opposite "Extremely different; inconsistent; contrary; repugnant; antagonistic."
tubulate "Tubular; tubulated; tubulous."
helminthologic "Alt. of Helminthological"
quadrel "A square piece of turf or peat."
waived "of Waive"
gloriation "Boast; a triumphing."
trichiniasis "Trichinosis."
verging "of Verge"
generalities "of Generality"
furciferous "Rascally; scandalous."
crave "To ask with earnestness or importunity; to ask with submission or humility; to beg; to entreat; to beseech; to implore."
transport "Transportation; carriage; conveyance."
impeacher "One who impeaches."
ginshop "A shop or barroom where gin is sold as a beverage."
readdress "To address a second time; -- often used reflexively."
splenocele "Hernia formed by the spleen."
unburden "To relieve from a burden."
objuration "A binding by oath."
repletory "Repletive."
letted "of Let"
atoned "of Atone"
abscissas "of Abscissa"
woodless "Having no wood; destitute of wood."
enheahedron "A figure having nine sides; a nonagon."
dowdyish "Like a dowdy."
ornamenter "One who ornaments; a decorator."
outsee "To see beyond; to excel in cer/ainty of seeing; to surpass in foresight."
imperilling "of Imperil"
statarian "Fixed; settled; steady; statary."
phonics "See Phonetics."
incredibly "In an incredible manner."
literatus "A learned man; a man acquainted with literature; -- chiefly used in the plural."
resplendent "Shining with brilliant luster; very bright."
leede "A caldron; a copper kettle."
representative "Fitted to represent; exhibiting a similitude."
hypoptilum "An accessory plume arising from the posterior side of the stem of the contour feathers of many birds; -- called also aftershaft. See Illust. of Feather."
outrive "To river; to sever."
snaggy "Snappish; cross; ill-tempered."
considerance "Act of considering; consideration."
aglossal "Without tongue; tongueless."
door "Passage; means of approach or access."
underpuller "One who underpulls."
ling-bird "The European meadow pipit; -- called also titling."
attainted "of Attaint"
coruscate "To glitter in flashes; to flash."
gentlefolk "Alt. of Gentlefolks"
maenad "A Bacchante; a priestess or votary of Bacchus."
interlineal "Alt. of Interlinear"
cryptogam "A plant belonging to the Cryptogamia."
anatomically "In an anatomical manner; by means of dissection."
savory "Pleasing to the organs of taste or smell."
adapting "of Adapt"
uncessant "Incessant."
shackle "Stubble."
acrity "Sharpness; keenness."
obfuscating "of Obfuscate"
compacting "of Compact"
liturgies "of Liturgy"
halidom "Holiness; sanctity; sacred oath; sacred things; sanctuary; -- used chiefly in oaths."
nebuly "Composed of successive short curves supposed to resemble a cloud; -- said of a heraldic line by which an ordinary or subordinary may be bounded."
semiiannual "Half-yearly."
capitula "See Capitulum."
snippack "The common snipe."
angustation "The act of making narrow; a straitening or contacting."
placeman "One who holds or occupies a place; one who has office under government."
demissly "In a humble manner."
afterthought "Reflection after an act; later or subsequent thought or expedient."
necessities "of Necessity"
zyme "A ferment."
minorate "To diminish."
dyingly "In a dying manner; as if at the point of death."
short-wited "Having little wit; not wise; having scanty intellect or judgment."
haematothermal "Warm-blooded; homoiothermal."
wawl "See Waul."
sinapisin "A substance extracted from mustard seed and probably identical with sinalbin."
nightly "At night; every night."
contributories "of Contributory"
craze "To break into pieces; to crush; to grind to powder. See Crase."
roughhewn "Hewn coarsely without smoothing; unfinished; not polished."
polygenism "The doctrine that animals of the same species have sprung from more than one original pair."
retribution "The act of retributing; repayment."
pecco "See Pekoe."
disgarnish "To divest of garniture; to disfurnish; to dismantle."
raivel "A separator."
presignified "of Presignify"
deifical "Making divine; producing a likeness to God; god-making."
painting "of Paint"
extravagancies "of Extravagancy"
sight "A spectacle; a view; a show; something worth seeing."
undershrieve "A low shrub; a woody plant of low stature."
snowstorm "A storm with falling snow."
pentacrinite "Any species of Pentacrinus."
jounce "A jolt; a shake; a hard trot."
cretin "One afflicted with cretinism."
systematism "The reduction of facts or principles to a system."
kotowing "of Kotow"
sirenize "To use the enticements of a siren; to act as a siren; to fascinate."
cherish "To treat with tenderness and affection; to nurture with care; to protect and aid."
multiramified "Divided into many branches."
hanker "To linger in expectation or with desire."
conceive "To receive into the womb and begin to breed; to begin the formation of the embryo of."
monopolylogue "An exhibition in which an actor sustains many characters."
terrestrious "Terrestrial."
savingly "In a saving manner; with frugality or parsimony."
bealing "of Beal"
sulphostannate "A salt of sulphostannic acid."
angelage "Existence or state of angels."
inoculating "of Inoculate"
animality "Animal existence or nature."
autotype "A facsimile."
morphologist "One who is versed in the science of morphology."
haloid "A haloid substance."
overtly "Publicly; openly."
amit "To lose."
ledge "A layer or stratum."
tropically "In a tropical manner; figuratively; metaphorically."
procerite "The segment next to the flagellum of the antennae of Crustacea."
reciprok "Reciprocal."
kilogrammeter "Alt. of Kilogrammetre"
husking "of Husk"
bushboy "See Bushman."
intice "See Entice."
fissility "Quality of being fissile."
wonted "of Wont"
unpen "To release from a pen or from confinement."
bedswerver "One who swerves from and is unfaithful to the marriage vow."
mesitylol "A crystalline substance obtained from mesitylene."
involucrum "See Involucre."
rawboned "Having little flesh on the bones; gaunt."
inelastic "Not elastic."
preaction "Previous action."
grandniece "The granddaughter of one's brother or sister."
aventure "Accident; chance; adventure."
surfer "The surf duck."
forworn "Much worn."
gaper "One who gapes."
salsamentarious "Salt; salted; saline."
sit "To remain in a state of repose; to rest; to abide; to rest in any position or condition."
filth "Foul matter; anything that soils or defiles; dirt; nastiness."
busbies "of Busby"
mothy "Infested with moths; moth-eaten."
arctic "The arctic circle."
dinothere "Alt. of Dinotherium"
recipience "Alt. of Recipiency"
stimulism "The practice of treating disease by alcoholic stimulants."
preempting "of Preempt"
balconied "Having balconies."
unacquainted "Not acquainted."
dementation "The act of depriving of reason; madness."
prefigured "of Prefigure"
reawake "To awake again."
servile "Held in subjection; dependent; enslaved."
jumble "To mix in a confused mass; to put or throw together without order; -- often followed by together or up."
gunocracy "See Gyneocracy."
pertusate "Pierced at the apex."
verificative "Serving to verify; verifying; authenciating; confirming."
saugh "Alt. of Sauh"
secre "Secret; secretive; faithful to a secret."
muser "One who muses."
acturience "Tendency or impulse to act."
replead "To plead again."
strobiliform "Shaped like a strobile."
qraspine "of Grasp"
intentiveness "Closeness of attention or application of mind; attentiveness."
opianyl "Same as Meconin."
chevroned "Having a chevron; decorated with an ornamental figure of a zigzag from."
ellenge "Alt. of Ellingeness"
scansorial "Of or pertaining to the Scansores. See Illust.. under Aves."
doggerman "A sailor belonging to a dogger."
fangless "Destitute of fangs or tusks."
loimic "Of or pertaining to the plague or contagious disorders."
laminability "The quality or state of being laminable."
lambent "Playing on the surface; touching lightly; gliding over."
distrainor "One who distrains; the party distraining goods or chattels."
optician "One skilled in optics."
monothalmic "Formed from one pistil; -- said of fruits."
occupant "A prostitute."
drouth "Same as Drought."
molt "imp. of Melt."
residentship "The office or condition of a resident."
attainability "The quality of being attainable; attainableness."
dimming "of Dim"
galvanist "One versed in galvanism."
embroiled "of Embroil"
sideways "Toward the side; sidewise."
rectified "of Rectify"
hollands "Gin made in Holland."
narcotical "Narcotic."
boggled "of Boggle"
protoplasmatic "Protoplasmic."
addition "The act of adding two or more things together; -- opposed to subtraction or diminution."
lividness "Lividity."
myochrome "A colored albuminous substance in the serum from red-colored muscles. It is identical with hemoglobin."
captivity "The state of being a captive or a prisoner."
instituting "of Institute"
disquieted "of Disquiet"
brevities "of Brevity"
refuge "Shelter or protection from danger or distress."
cephalopode "One of the Cephalopoda."
complicacy "A state of being complicate or intricate."
buffalo "A very large and savage species of the same genus found in South Africa; -- called also Cape buffalo."
jacobean "Alt. of Jacobian"
funk "An offensive smell; a stench."
picquet "See Piquet."
intermedium "Intermediate space."
rectoress "A governess; a rectrix."
clothed "of Clothe"
discosent "To differ; to disagree; to dissent."
rabble "To speak in a confused manner."
prophesied "of Prophesy"
disregarding "of Disregard"
finative "Conclusive; decisive; definitive; final."
burglariously "With an intent to commit burglary; in the manner of a burglar."
infamize "To make infamous; to defame."
destructive "One who destroys; a radical reformer; a destructionist."
ninepences "of Ninepence"
jingoes "of Jingo"
declensional "Belonging to declension."
popularities "of Popularity"
tackling "of Tackle"
distrusting "of Distrust"
grouty "Cross; sulky; sullen."
extumescence "A swelling or rising."
purkinje's "cells Large ganglion cells forming a layer near the surface of the cerebellum."
regive "To give again; to give back."
rewardful "Yielding reward."
pleased "of Please"
oinement "Ointment."
gliden "p. p. of Glide."
repent "Prostrate and rooting; -- said of stems."
tactical "Of or pertaining to the art of military and naval tactics."
brogue "A dialectic pronunciation; esp. the Irish manner of pronouncing English."
muscosity "Mossiness."
earned "of Earn"
quadrigeminal "Alt. of Quadrigeminous"
repousse "Repousse work."
snort "To snore."
burrock "A small weir or dam in a river to direct the stream to gaps where fish traps are placed."
mollipilose "Having soft hairs; downy."
evesdrop "See Eavesdrop."
bureaux "of Bureau"
boruret "A boride."
indexes "of Index"
pestered "of Pester"
mandrel "The live spindle of a turning lathe; the revolving arbor of a circular saw. It is usually driven by a pulley."
tewing "of Tew"
recomfort "To comfort again; to console anew; to give new strength to."
sphacelus "Gangrenous part; gangrene; slough."
exalbuminous "Having no albumen about the embryo; -- said of certain seeds."
tableau "A striking and vivid representation; a picture."
stigmaria "The fossil root stem of a coal plant of the genus Sigillaria."
attesting "of Attest"
recontinue "To continue anew."
spynace "Alt. of Spyne"
thulia "Oxide of thulium."
rutted "of Rut"
mercurially "In a mercurial manner."
achiever "One who achieves; a winner."
doughfaceism "The character of a doughface; truckling pliability."
grumbly "In a grum manner."
centred "of Centre"
aromatic "Alt. of Aromatical"
theopathy "Capacity for religious affections or worship."
mirabilite "Native sodium sulphate; Glauber's salt."
prescriptively "By prescription."
presidio "A place of defense; a fortress; a garrison; a fortress; a garrison or guardhouse."
whiskerless "Being without whiskers."
rosemaloes "The liquid storax of the East Indian Liquidambar orientalis."
plenist "One who holds that all space is full of matter."
phocenin "See Delphin."
afterpiece "The heel of a rudder."
schistic "Schistose."
lobe "A rounded projection or division of a leaf."
clodpoll "A stupid fellow; a dolt."
avenging "of Avenge"
intersticed "Provided with interstices; having interstices between; situated at intervals."
bere "To pierce."
jongler "A juggler; a conjuror. See Juggler."
smouldry "Smoldering; suffocating; smothery."
foreallege "To allege or cite before."
sufficience "Sufficiently."
pneumatophore "One of the Pneumonophora."
albification "The act or process of making white."
achromaticity "Achromatism."
curriculum "A race course; a place for running."
enjoyable "Capable of being enjoyed or of giving joy; yielding enjoyment."
betty "A short bar used by thieves to wrench doors open."
rigged "of Rig"
sermoneer "A sermonizer."
prolix "Indulging in protracted discourse; tedious; wearisome; -- applied to a speaker or writer."
dubious "Doubtful or not settled in opinion; being in doubt; wavering or fluctuating; undetermined."
esteemer "One who esteems; one who sets a high value on any thing."
accouchement "Delivery in childbed"
claimed "of Claim"
tanagrine "Of or pertaining to the tanagers."
originating "of Originate"
fourierist "Alt. of Fourierite"
abstain "To hinder; to withhold."
tyrotoxine "Same as Tyrotoxicon."
covertly "Secretly; in private; insidiously."
ocreate "Alt. of Ocreated"
swelve "To swallow."
mispronouncing "of Mispronounce"
elongated "of Elongate"
periosteum "The membrane of fibrous connective tissue which closely invests all bones except at the articular surfaces."
roche "Rock."
flagginess "The condition of being flaggy; laxity; limberness."
pleiosaurus "Same as Pliosaurus."
pulpitry "The teaching of the pulpit; preaching."
aerate "To expose to the chemical action of air; to oxygenate by respiration; to arterialize."
disventure "A disadventure."
tropaeolin "A name given to any one of a series of orange-red dyestuffs produced artificially from certain complex sulphonic acid derivatives of azo and diazo hydrocarbons of the aromatic series; -- so called because of the general resemblance to the shades of nasturtium ."
adhortation "Advice; exhortation."
witchery "Sorcery; enchantment; witchcraft."
quinism "See Cinchonism."
sopranist "A treble singer."
capableness "The quality or state of being capable; capability; adequateness; competency."
fasciae "of Fascia"
chateux "of Chateau"
saxicolous "Growing on rocks."
spelling "of Spell"
paludinas "of Paludina"
abound "To be in great plenty; to be very prevalent; to be plentiful."
individua "of Individuate"
lady-killing "The art or practice of captivating the hearts of women."
coadjutor "One who aids another; an assistant; a coworker."
symmetrian "One eminently studious of symmetry of parts."
notified "of Notify"
hemerobid "Of relating to the hemerobians."
contend "To strive in opposition; to contest; to dispute; to vie; to quarrel; to fight."
mannheim "gold A kind of brass made in imitation of gold. It contains eighty per cent of copper and twenty of zinc."
lowborn "Born in a low condition or rank; -- opposed to highborn."
incommunicating "Having no communion or intercourse with each other."
merging "of Merge"
malefeasance "See Malfeasance."
vesicoprostatic "Of a pertaining to the bladder and the prostrate gland."
dissentany "Dissentaneous; inconsistent."
chemism "The force exerted between the atoms of elementary substance whereby they unite to form chemical compounds; chemical attaction; affinity; -- sometimes used as a general expression for chemical activity or relationship."
inventing "of Invent"
stulm "A shaft or gallery to drain a mine."
desponder "One who desponds."
absumption "Act of wasting away; a consuming; extinction."
skittle "Pertaining to the game of skittles."
mercership "The business of a mercer."
mycelium "The white threads or filamentous growth from which a mushroom or fungus is developed; the so-called mushroom spawn."
feigner "One who feigns or pretends."
persecutrix "A woman who persecutes."
aleuronic "Having the nature of aleurone."
farcical "Pertaining to farce; appropriated to farce; ludicrous; unnatural; unreal."
joinhand "Writing in which letters are joined in words; -- distinguished from writing in single letters."
matrice "See Matrix."
snathe "To lop; to prune."
itchiness "The state of being itchy."
petrary "An ancient war engine for hurling stones."
hexavalent "Having a valence of six; -- said of hexads."
agonized "of Agonize"
affectively "In an affective manner; impressively; emotionally."
moustache "Mustache."
subcentral "Under the center."
labrums "of Labrum"
lobspound "A prison."
broadspreading "Spreading widely."
deliverance "Act of bringing forth children."
subtutor "An under tutor."
absume "To consume gradually; to waste away."
letch "See Leach."
soli "pl. of Solo."
gerboa "The jerboa."
buttermilk "The milk that remains after the butter is separated from the cream."
phraseologic "Alt. of Phraseological"
forewiting "of Forewite"
wasite "A variety of allanite from Sweden supposed to contain wasium."
millefiore "glass Slender rods or tubes of colored glass fused together and embedded in clear glass; -- used for paperweights and other small articles."
obediential "According to the rule of obedience."
montiform "Resembling a mountain in form."
dungyard "A yard where dung is collected."
suable "Capable of being sued; subject by law to be called to answer in court."
hauling "of Haul"
forkless "Having no fork."
unpraise "To withhold praise from; to deprive of praise."
leptynite "See Granulite."
crucigerous "Bearing the cross; marked with the figure of a cross."
analcite "Analcime."
bastardize "To make or prove to be a bastard; to stigmatize as a bastard; to declare or decide legally to be illegitimate."
informalities "of Informality"
contradictories "of Contradictory"
