a "In; on; at; by."
aphonia "Alt. of Aphony"
aphony "Loss of voice or vocal utterance."
aphonic "Alt. of Aphonous"
aphonous "Without voice; voiceless; nonvocal."
aphorism "A comprehensive maxim or principle expressed in a few words; a sharply defined sentence relating to abstract truth rather than to practical matters."
aphorismatic "Alt. of Aphorismic"
aphorismer "A dealer in aphorisms."
aphorist "A writer or utterer of aphorisms."
aphoristic "Alt. of Aphoristical"
aphoristically "In the form or manner of aphorisms; pithily."
aphorize "To make aphorisms."
aphrite "See under Calcite."
aphrodisiac "Alt. of Aphrodisiacal"
aphrodisiacal "Exciting venereal desire; provocative to venery."
aphrodite "A beautiful butterfly of the United States."
aphroditic "Venereal."
aphtha "One of the whitish specks called aphthae."
aphthoid "Of the nature of aphthae; resembling thrush."
apiaceous "Umbelliferous."
apian "Belonging to bees."
apiarian "Of or relating to bees."
apiarist "One who keeps an apiary."
apiary "A place where bees are kept; a stand or shed for bees; a beehouse."
apiculate "Alt. of Apiculated"
apiculture "Rearing of bees for their honey and wax."
apieces "In pieces or to pieces."
apiked "Trimmed."
apiol "An oily liquid derived from parsley."
apiologist "A student of bees."
apish "Having the qualities of an ape; prone to imitate in a servile manner. Hence: Apelike; fantastically silly; foppish; affected; trifling."
apishly "In an apish manner; with servile imitation; foppishly."
apishness "The quality of being apish; mimicry; foppery."
apitpat "With quick beating or palpitation; pitapat."
aplacental "Belonging to the Aplacentata; without placenta."
aplacentata "Mammals which have no placenta."
aplanatism "Freedom from spherical aberration."
aplastic "Not plastic or easily molded."
aplomb "Assurance of manner or of action; self-possession."
aplotomy "Simple incision."
apneumona "An order of holothurians in which the internal respiratory organs are wanting; -- called also Apoda or Apodes."
apnoea "Partial privation or suspension of breath; suffocation."
apocalypse "Anything viewed as a revelation; a disclosure."
apocalyptic "Alt. of Apocalyptical"
apocalyptist "The writer of the Apocalypse."
apocalyptically "By revelation; in an apocalyptic manner."
apocopate "Alt. of Apocopated"
apocopation "Shortening by apocope; the state of being apocopated."
apocope "A cutting off; abscission."
apocrisiary "Alt. of Apocrisiarius"
apocrustic "Astringent and repellent."
apocryphas "of Apocrypha"
apocryphal "Pertaining to the Apocrypha."
apocryphally "In an apocryphal manner; mythically; not indisputably."
apocryphalness "The quality or state of being apocryphal; doubtfulness of credit or genuineness."
apocynaceous "Alt. of Apocyneous"
apocynin "A bitter principle obtained from the dogbane ."
apod "Alt. of Apodal"
apodal "Without feet; footless."
apods "of Apode"
apodes "of Apode"
apode "One of certain animals that have no feet or footlike organs; esp. one of certain fabulous birds which were said to have no feet."
apoda "An order of Amphibia without feet. See Ophiomorpha."
apodan "Apodal."
apodeictic "Alt. of Apodictical"
apodictic "Alt. of Apodictical"
apodeictical "Alt. of Apodictical"
apodictical "Self-evident; intuitively true; evident beyond contradiction."
apodeictically "Alt. of Apodictically"
apodictically "So as to be evident beyond contradiction."
apodixis "Full demonstration."
apodous "Apodal; apod."
apogaic "Apogean."
apogamic "Relating to apogamy."
apogamy "The formation of a bud in place of a fertilized ovule or oospore."
apogeal "Apogean."
apogee "That point in the orbit of the moon which is at the greatest distance from the earth."
apograph "A copy or transcript."
apohyal "Of or pertaining to a portion of the horn of the hyoid bone."
apoise "Balanced."
apolar "Having no radiating processes; -- applied particularly to certain nerve cells."
apolaustic "Devoted to enjoyment."
apollonian "Alt. of Apollonic"
apologer "A teller of apologues."
apologetic "Alt. of Apologetical"
apologetically "By way of apology."
apologized "of Apologize"
apologizing "of Apologize"
apologize "To make an apology or defense."
apologizer "One who makes an apology; an apologist."
apologies "of Apology"
apology "Anything provided as a substitute; a makeshift."
apomecometer "An instrument for measuring the height of objects."
apomecometry "The art of measuring the distance of objects afar off."
apomorphia "Alt. of Apomorphine"
apomorphine "A crystalline alkaloid obtained from morphia. It is a powerful emetic."
aponeuroses "of Aponeurosis"
aponeurotic "Of or pertaining to an aponeurosis."
aponeurotomy "Dissection of aponeuroses."
apophlegmatic "Designed to facilitate discharges of phlegm or mucus from mouth or nostrils."
apophlegmatism "The action of apophlegmatics."
apophlegmatizant "An apophlegmatic."
apophthegm "See Apothegm."
apophthegmatic "Alt. of Apophthegmatical"
apophthegmatical "Same as Apothegmatic."
apophyge "The small hollow curvature given to the top or bottom of the shaft of a column where it expands to meet the edge of the fillet; -- called also the scape."
-ses "of Apophysis"
apophysis "A marked prominence or process on any part of a bone."
apoplectic "Alt. of Apoplectical"
apoplectiform "Alt. of Apoplectoid"
apoplectoid "Resembling apoplexy."
apoplex "Apoplexy."
apoplexed "Affected with apoplexy."
aporetical "Doubting; skeptical."
aporias "of Aporia"
aporosa "A group of corals in which the coral is not porous; -- opposed to Perforata."
aporose "Without pores."
aport "On or towards the port or left side; -- said of the helm."
apostasies "of Apostasy"
apostate "To apostatize."
apostatic "Apostatical."
apostatical "Apostate."
apostatized "of Apostatize"
apostatizing "of Apostatize"
apostemate "To form an abscess; to swell and fill with pus."
apostemation "The formation of an aposteme; the process of suppuration."
aposteme "An abscess; a swelling filled with purulent matter."
apostil "Alt. of Apostille"
apostille "A marginal note on a letter or other paper; an annotation."
apostleship "The office or dignity of an apostle."
apostolic "Alt. of Apostolical"
apostolical "Of or pertaining to the pope or the papacy; papal."
apostolically "In an apostolic manner."
apostolicalness "Apostolicity."
apostolicism "Alt. of Apostolicity"
apostolicity "The state or quality of being apostolical."
apostrophize "To address by apostrophe."
apostume "See Aposteme."
apotelesm "The result or issue."
apotelesmatic "Relating to the casting of horoscopes."
apothecaries "of Apothecary"
apothecary "One who prepares and sells drugs or compounds for medicinal purposes."
apothecia "of Apothecium"
apothegm "Alt. of Apophthegm"
apothegmatic "Alt. of Apothegmatical"
apothegmatist "A collector or maker of apothegms."
apothem "The perpendicular from the center to one of the sides of a regular polygon."
apotheoses "of Apotheosis"
apotheosis "Glorification; exaltation."
apotheosize "To exalt to the dignity of a deity; to declare to be a god; to deify; to glorify."
apothesis "A dressing room connected with a public bath."
apotome "The remaining part of a whole tone after a smaller semitone has been deducted from it; a major semitone."
apozem "A decoction or infusion."
appair "To impair; to grow worse."
appalled "of Appall"
appalling "of Appall"
appall "To make pale; to blanch."
appallment "Depression occasioned by terror; dismay."
appanage "The portion of land assigned by a sovereign prince for the subsistence of his younger sons."
appanagist "A prince to whom an appanage has been granted."
apparaillyng "Preparation."
apparatus "of Apparatus"
apparatuses "of Apparatus"
apparel "External clothing; vesture; garments; dress; garb; external habiliments or array."
appareled "of Apparel"
apparelled "of Apparel"
appareling "of Apparel"
apparelling "of Apparel"
apparence "Appearance."
apparency "Appearance."
apparent "Clear or manifest to the understanding; plain; evident; obvious; known; palpable; indubitable."
apparently "Visibly."
apparentness "Plainness to the eye or the mind; visibleness; obviousness."
apparition "The act of becoming visible; appearance; visibility."
apparitional "Pertaining to an apparition or to apparitions; spectral."
apparitor "A messenger or officer who serves the process of an ecclesiastical court."
appaume "A hand open and extended so as to show the palm."
appay "To pay; to satisfy or appease."
appeach "To impeach; to accuse; to asperse; to inform against; to reproach."
appeacher "An accuser."
appeachment "Accusation."
appealed "of Appeal"
appealing "of Appeal"
appeal "To summon; to challenge."
appealant "An appellant."
appealer "One who makes an appeal."
appeared "of Appear"
appearing "of Appear"
appear "To come or be in sight; to be in view; to become visible."
appearance "Personal presence; exhibition of the person; look; aspect; mien."
appearer "One who appears."
appearingly "Apparently."
appeasable "Capable of being appeased or pacified; placable."
appeasing "of Appease"
appeaser "One who appeases; a pacifier."
appeasive "Tending to appease."
appellable "Appealable."
appellancy "Capability of appeal."
appellant "Relating to an appeal; appellate."
appellate "A person or prosecuted for a crime. [Obs.] See Appellee."
appellation "The act of appealing; appeal."
appellative "Pertaining to a common name; serving as a distinctive denomination; denominative; naming."
appellativeness "The quality of being appellative."
appellatory "Containing an appeal."
appellee "The defendant in an appeal; -- opposed to appellant."
appellor "One who confesses a felony committed and accuses his accomplices."
appenage "See Appanage."
appended "of Append"
appending "of Append"
appendance "Something appendant."
appendant "Anything attached to another as incidental or subordinate to it."
appendence "Alt. of Appendency"
appendency "State of being appendant; appendance."
appendical "Of or like an appendix."
appendicate "To append."
appendication "An appendage."
appendicitis "Inflammation of the vermiform appendix."
appendicle "A small appendage."
appendicular "Relating to an appendicle; appendiculate."
appendiculata "An order of annelids; the Polych/ta."
appendiculate "Having small appendages; forming an appendage."
appendixes "of Appendix"
appendices "of Appendix"
appension "The act of appending."
apperceive "To perceive; to comprehend."
apperil "Peril."
appertained "of Appertain"
appertaining "of Appertain"
appertainment "That which appertains to a person; an appurtenance."
appertinance "Alt. of Appertinence"
appertinence "See Appurtenance."
appertinent "Belonging; appertaining."
appete "To seek for; to desire."
appetence "A longing; a desire; especially an ardent desire; appetite; appetency."
appetencies "of Appetency"
appetency "Fixed and strong desire; esp. natural desire; a craving; an eager appetite."
appetent "Desiring; eagerly desirous."
appetibility "The quality of being desirable."
appetible "Desirable; capable or worthy of being the object of desire."
appetite "Any strong desire; an eagerness or longing."
appetize "To make hungry; to whet the appetite of."
appetizer "Something which creates or whets an appetite."
appetizing "So as to excite appetite."
appian "Of or pertaining to Appius."
applauded "of Applaud"
applauding "of Applaud"
applaud "To praise by words; to express approbation of; to commend; to approve."
applauder "One who applauds."
applausable "Worthy of applause; praiseworthy."
applausive "Expressing applause; approbative."
apple "The fleshy pome or fruit of a rosaceous tree cultivated in numberless varieties in the temperate zones."
apple-jack "Apple brandy."
apple-john "A kind of apple which by keeping becomes much withered; -- called also Johnapple."
apple-squire "A pimp; a kept gallant."
appliance "The act of applying; application; [Obs.] subservience."
applicability "The quality of being applicable or fit to be applied."
applicancy "The quality or state of being applicable."
applicant "One who apples for something; one who makes request; a petitioner."
applicate "Applied or put to some use."
application "The thing applied."
applicative "Capable of being applied or used; applying; applicatory; practical."
applicatorily "By way of application."
applicatory "Having the property of applying; applicative; practical."
appliedly "By application."
appliment "Application."
applotted "of Applot"
applotting "of Applot"
applot "To divide into plots or parts; to apportion."
applotment "Apportionment."
applied "of Apply"
applying "of Apply"
apply "To direct or address."
appointed "of Appoint"
appointing "of Appoint"
appoint "To fix with power or firmness; to establish; to mark out."
appointable "Capable of being appointed or constituted."
appointee "A person appointed."
apporter "A bringer in; an importer."
apportioned "of Apportion"
apportioning "of Apportion"
apportionateness "The quality of being apportioned or in proportion."
apportioner "One who apportions."
appose "To place opposite or before; to put or apply ."
apposition "The act of adding; application; accretion."
appositional "Pertaining to apposition; put in apposition syntactically."
appositive "Of or relating to apposition; in apposition."
appraisable "Capable of being appraised."
appraisal "A valuation by an authorized person; an appraisement."
appraised "of Appraise"
appraising "of Appraise"
appraise "To estimate; to conjecture."
appraisement "The act of setting the value; valuation by an appraiser; estimation of worth."
apprecation "Earnest prayer; devout wish."
apprecatory "Praying or wishing good."
appreciant "Appreciative."
appreciated "of Appreciate"
appreciating "of Appreciate"
appreciate "To set a price or value on; to estimate justly; to value."
appreciatingly "In an appreciating manner; with appreciation."
appreciation "A rise in value; -- opposed to depreciation."
appreciativeness "The quality of being appreciative; quick recognition of excellence."
appreciator "One who appreciates."
apprehended "of Apprehend"
apprehending "of Apprehend"
apprehend "To take or seize; to take hold of."
apprehender "One who apprehends."
apprehensibiity "The quality of being apprehensible."
apprehensible "Capable of being apprehended or conceived."
apprehension "Opinion; conception; sentiment; idea."
apprehensive "Knowing; conscious; cognizant."
apprehensively "In an apprehensive manner; with apprehension of danger."
apprehensiveness "The quality or state of being apprehensive."
apprentice "One not well versed in a subject; a tyro."
apprenticed "of Apprentice"
apprenticing "of Apprentice"
apprenticeage "Apprenticeship."
apprenticehood "Apprenticeship."
appressed "Alt. of Apprest"
apprised "of Apprise"
apprising "of Apprise"
apprise "Notice; information."
apprizal "See Appraisal."
apprize "To appraise; to value; to appreciate."
apprizement "Appraisement."
apprizer "An appraiser."
approached "of Approach"
approaching "of Approach"
approach "To bring near; to cause to draw near; to advance."
approachability "The quality of being approachable; approachableness."
approachableness "The quality or state of being approachable; accessibility."
approacher "One who approaches."
approachless "Impossible to be approached."
approachment "Approach."
approbate "Approved."
approbation "Proof; attestation."
approbativeness "The quality of being approbative."
approbator "One who approves."
approbatory "Containing or expressing approbation; commendatory."
appromt "To quicken; to prompt."
approof "Trial; proof."
appropinquate "To approach."
appropinquation "A drawing nigh; approach."
appropinquity "Nearness; propinquity."
appropre "To appropriate."
appropriament "What is peculiarly one's own; peculiar qualification."
appropriate "Set apart for a particular use or person. Hence: Belonging peculiarly; peculiar; suitable; fit; proper."
appropriated "of Appropriate"
appropriating "of Appropriate"
appropriately "In an appropriate or proper manner; fitly; properly."
appropriateness "The state or quality of being appropriate; peculiar fitness."
appropriation "The severing or sequestering of a benefice to the perpetual use of a spiritual corporation. Blackstone."
appropriator "One who appropriates."
approvable "Worthy of being approved; meritorious."
approval "Approbation; sanction."
approvance "Approval."
approved "of Approve"
approving "of Approve"
approve "To show to be real or true; to prove."
approvedly "So as to secure approbation; in an approved manner."
approvement "Approbation."
approver "An informer; an accuser."
approximate "Approaching; proximate; nearly resembling."
approximated "of Approximate"
approximating "of Approximate"
approximately "With approximation; so as to approximate; nearly."
approximation "A value that is nearly but not exactly correct."
approximative "Approaching; approximate."
appui "A support or supporter; a stay; a prop."
appulsion "A driving or striking against; an appulse."
appulsively "By appulsion."
appurtenant "Something which belongs or appertains to another thing; an appurtenance."
apricate "To bask in the sun."
aprication "Basking in the sun."
april "The fourth month of the year."
apriorism "An a priori principle."
aprocta "A group of Turbellaria in which there is no anal aperture."
aproctous "Without an anal office."
apron "Something which by its shape or use suggests an apron;"
aproned "Wearing an apron."
apronfuls "of Apronful"
apronful "The quantity an apron can hold."
apronless "Without an apron."
aprosos "Opportunely or opportune; seasonably or seasonable."
apsidal "Of or pertaining to the apsides of an orbit."
apsides "See Apsis."
apsis "Same as Apse."
apt "Fit or fitted; suited; suitable; appropriate."
aptable "Capable of being adapted."
aptate "To make fit."
apteral "Apterous."
apteran "One of the Aptera."
apteria "Naked spaces between the feathered areas of birds. See Pteryliae."
aptitude "A general fitness or suitableness; adaptation."
aptitudinal "Suitable; fit."
aptly "In an apt or suitable manner; fitly; properly; pertinently; appropriately; readily."
aptote "A noun which has no distinction of cases; an indeclinable noun."
apus "A genus of fresh-water phyllopod crustaceans. See Phyllopod."
apyretic "Without fever; -- applied to days when there is an intermission of fever."
apyrexia "Alt. of Apyrexy"
apyrexy "The absence or intermission of fever."
apyrexial "Relating to apyrexy."
apyrous "Incombustible; capable of sustaining a strong heat without alteration of form or properties."
aqua "fortis Nitric acid."
aquapuncture "The introduction of water subcutaneously for the relief of pain."
aquarellist "A painter in thin transparent water colors."
aquarial "Alt. of Aquarian"
aquarian "Of or pertaining to an aquarium."
aquariums "of Aquarium"
aquaria "of Aquarium"
aquarius "A constellation south of Pegasus."
aquatic "An aquatic animal or plant."
aquatical "Aquatic."
aquatile "Inhabiting the water."
aquatint "Alt. of Aquatinta"
aqueity "Wateriness."
aqueousness "Wateriness."
aquiform "Having the form of water."
aquilae "of Aquila"
aquila "A genus of eagles."
aquilated "Adorned with eagles' heads."
aquiline "Belonging to or like an eagle."
aquilon "The north wind."
aquiparous "Secreting water; -- applied to certain glands."
aquose "Watery; aqueous."
aquosity "The condition of being wet or watery; wateriness."
ar "Ere; before."
arabesque "Arabian."
arabesqued "Ornamented in the style of arabesques."
arabian "Of or pertaining to Arabia or its inhabitants."
arabic "Of or pertaining to Arabia or the Arabians."
arabical "Relating to Arabia; Arabic."
arabism "An Arabic idiom peculiarly of language."
arable "Arable land; plow land."
araby "The country of Arabia."
aracanese "A native or natives of Aracan."
arace "To tear up by the roots; to draw away."
arachnid "An arachnidan."
arachnida "One of the classes of Arthropoda. See Illustration in Appendix."
arachnidan "One of the Arachnida."
arachnidial "Of or pertaining to the Arachnida."
arachnidium "The glandular organ in which the material for the web of spiders is secreted."
arachnitis "Inflammation of the arachnoid membrane."
arachnoid "Resembling a spider's web; cobweblike."
arachnoidal "Pertaining to the arachnoid membrane; arachnoid."
arachnoidea "Same as Arachnida."
arachnological "Of or pertaining to arachnology."
arachnology "The department of zoology which treats of spiders and other Arachnida."
araeometer "See Areometer."
araeostyle "See Intercolumniation."
araeosystyle "See Intercolumniation."
araise "To raise."
arak "Same as Arrack."
aramaean "Alt. of Aramean"
aramean "A native of Aram."
aramaic "The Aramaic language."
aramaism "An idiom of the Aramaic."
araneida "Alt. of Araneoidea"
araneoidea "See Araneina."
araneidan "Of or pertaining to the Araneina or spiders."
araneiform "Having the form of a spider."
araneina "The order of Arachnida that includes the spiders."
araneose "Of the aspect of a spider's web; arachnoid."
arangoes "of Arango"
arango "A bead of rough carnelian. Arangoes were formerly imported from Bombay for use in the African slave trade."
arapaima "A large fresh-water food fish of South America."
aration "Plowing; tillage."
aratory "Contributing to tillage."
arbalest "Alt. of Arbalist"
arbalester "Alt. of Arbalister"
arbalister "A crossbowman."
arbiter "To act as arbiter between."
arbitrable "Capable of being decided by arbitration; determinable."
arbitrage "Judgment by an arbiter; authoritative determination."
arbitral "Of or relating to an arbiter or an arbitration."
arbitrament "Determination; decision; arbitration."
arbitrarily "In an arbitrary manner; by will only; despotically; absolutely."
arbitrariness "The quality of being arbitrary; despoticalness; tyranny."
arbitrarious "Arbitrary; despotic."
arbitrated "of Arbitrate"
arbitrating "of Arbitrate"
arbitrate "To decide; to determine."
arbitrator "One who has the power of deciding or prescribing without control; a ruler; a governor."
arbitratrix "A female who arbitrates or judges."
arbitress "A female arbiter; an arbitratrix."
arblast "A crossbow. See Arbalest."
arbor "An axle or spindle of a wheel or opinion."
arborary "Of or pertaining to trees; arboreal."
arborator "One who plants or who prunes trees."
arbored "Furnished with an arbor; lined with trees."
arborescent "Resembling a tree; becoming woody in stalk; dendritic; having crystallizations disposed like the branches and twigs of a tree."
arboret "A small tree or shrub."
arboreta "of Arboretum"
arboretum "A place in which a collection of rare trees and shrubs is cultivated for scientific or educational purposes."
arborical "Relating to trees."
arboricole "Tree-inhabiting; -- said of certain birds."
arboricultural "Pertaining to arboriculture."
arboriculturist "One who cultivates trees."
arboriform "Treelike in shape."
arborized "Having a treelike appearance."
arborous "Formed by trees."
arbuscular "Of or pertaining to a dwarf tree; shrublike."
arbustive "Containing copses of trees or shrubs; covered with shrubs."
arbutus "Alt. of Arbute"
arc "An arch."
arcade "An arched or covered passageway or avenue."
arcaded "Furnished with an arcade."
arcadia "Fig.: Any region or scene of simple pleasure and untroubled quiet."
arcadian "Alt. of Arcadic"
arcane "Hidden; secret."
arcana "of Arcanum"
arcanum "A secret; a mystery; -- generally used in the plural."
arcboutant "A flying buttress."
arch "Any part of a curved line."
arched "of Arch"
arching "of Arch"
archaean "Ancient; pertaining to the earliest period in geological history."
archaeolithic "Of or pertaining to the earliest Stone age; -- applied to a prehistoric period preceding the Paleolithic age."
archaeologian "An archaeologist."
archaeologic "Alt. of Archaeological"
archaeologist "One versed in archaeology; an antiquary."
archaeostomatous "Applied to a gastrula when the blastopore does not entirely close up."
archaeozoic "Like or belonging to the earliest forms of animal life."
archaic "Of or characterized by antiquity or archaism; antiquated; obsolescent."
archaical "Archaic."
archaism "Antiquity of style or use; obsoleteness."
archaist "Am antiquary."
archaized "of Archaize"
archaizing "of Archaize"
archaize "To make appear archaic or antique."
archangel "A chief angel; one high in the celestial hierarchy."
archbishopric "The jurisdiction or office of an archbishop; the see or province over which archbishop exercises archiepiscopal authority."
archbutler "A chief butler; -- an officer of the German empire."
archchemic "Of supreme chemical powers."
archdeaconship "The office of an archdeacon."
archdiocese "The diocese of an archbishop."
archducal "Of or pertaining to an archduke or archduchy."
archduchy "The territory of an archduke or archduchess."
archduke "A prince of the imperial family of Austria."
archdukedom "An archduchy."
archebiosis "The origination of living matter from non-living. See Abiogenesis."
archegonial "Relating to the archegonium."
archegony "Spontaneous generation; abiogenesis."
archencephala "The division that includes man alone."
archenteron "The primitive enteron or undifferentiated digestive sac of a gastrula or other embryo. See Illust. under Invagination."
archeology "Alt. of Archeological"
archeress "A female archer."
archership "The art or skill of an archer."
archetypal "Of or pertaining to an archetype; consisting a model or pattern; original."
archetype "The original pattern or model of a work; or the model from which a thing is made or formed."
archetypical "Relating to an archetype; archetypal."
archeus "The vital principle or force which presides over the growth and continuation of living beings; the anima mundi or plastic power of the old philosophers."
archiannelida "A group of Annelida remarkable for having no external segments or distinct ventral nerve ganglions."
archical "Chief; primary; primordial."
archidiaconal "Of or pertaining to an archdeacon."
archiepiscopacy "That form of episcopacy in which the chief power is in the hands of archbishops."
archiepiscopality "The station or dignity of an archbishop; archiepiscopacy."
archiepiscopate "The office of an archbishop; an archbishopric."
archil "The plant from which the dye is obtained."
archimage "Alt. of Archimagus"
archimedes "An extinct genus of Bryzoa characteristic of the subcarboniferous rocks. Its form is that of a screw."
archipelagic "Of or pertaining to an archipelago."
-goes "of Archipelago"
-gos "of Archipelago"
archipelago "Hence: Any sea or broad sheet of water interspersed with many islands or with a group of islands."
architective "Used in building; proper for building."
architectonic "Alt. of Architectonical"
architectonical "Relating to the systemizing of knowledge."
architectonics "The science of architecture."
architector "An architect."
architectress "A female architect."
architectural "Of or pertaining to the art of building; conformed to the rules of architecture."
architraved "Furnished with an architrave."
archives "of Archive"
archive "The place in which public records or historic documents are kept."
archivist "A keeper of archives or records."
archlute "Alt. of Archilute"
archly "In an arch manner; with attractive slyness or roguishness; slyly; waggishly."
archness "The quality of being arch; cleverness; sly humor free from malice; waggishness."
archonship "The office of an archon."
archontate "An archon's term of office."
archonts "The group including man alone."
archprelate "An archbishop or other chief prelate."
archpresbyter "Same as Archpriest."
archpresbytery "The absolute dominion of presbytery."
archprimate "The chief primate."
archtraitor "A chief or transcendent traitor."
archway "A way or passage under an arch."
archwise "Arch-shaped."
arciform "Having the form of an arch; curved."
arcograph "An instrument for drawing a circular arc without the use of a central point; a cyclograph."
arctic "The arctic circle."
arctisca "A group of Arachnida. See Illust. in Appendix."
arcturus "A fixed star of the first magnitude in the constellation Bootes."
arcual "Of or pertaining to an arc."
arcuate "Alt. of Arcuated"
arcuated "Bent or curved in the form of a bow."
arcuately "In the form of a bow."
arcuation "The act of bending or curving; incurvation; the state of being bent; crookedness."
arcubalist "A crossbow."
arcubalister "A crossbowman; one who used the arcubalist."
arcubus "See Arquebus."
-ard "Alt. of -art"
ardassine "A very fine sort of Persian silk."
ardency "Heat."
ardently "In an ardent manner; eagerly; with warmth; affectionately; passionately."
ardentness "Ardency."
ardor "Bright and effulgent spirits; seraphim."
arduously "In an arduous manner; with difficulty or laboriousness."
arduousness "The quality of being arduous; difficulty of execution."
ardurous "Burning; ardent."
areas "of Area"
area "The inclosed space on which a building stands."
aread "Alt. of Areed"
areed "To read."
arear "To raise; to set up; to stir up."
areek "In a reeking condition."
arenas "of Arena"
arenae "of Arena"
arenation "A sand bath; application of hot sand to the body."
areng "Alt. of Arenga"
arenose "Sandy; full of sand."
arenulous "Full of fine sand; like sand."
areolae "of Areola"
areolate "Alt. of Areolated"
areolation "Division into areolae."
areole "Same as Areola."
areometer "An instrument for measuring the specific gravity of fluids; a form hydrometer."
areometric "Alt. of Areometrical"
areometry "The art or process of measuring the specific gravity of fluids."
areopagist "See Areopagite."
areopagite "A member of the Areopagus."
areopagitic "Pertaining to the Areopagus."
arere "See Arear."
arest "A support for the spear when couched for the attack."
aret "To reckon; to ascribe; to impute."
aretaics "The ethical theory which excludes all relations between virtue and happiness; the science of virtue; -- contrasted with eudemonics."
arew "In a row."
argal "Crude tartar. See Argol."
argala "The adjutant bird."
argand "lamp A lamp with a circular hollow wick and glass chimney which allow a current of air both inside and outside of the flame."
argean "Pertaining to the ship Argo. See Argo."
argent "Whiteness; anything that is white."
argentan "An alloy of nickel with copper and zinc; German silver."
argentate "Silvery white."
argentation "A coating or overlaying with silver."
argentine "Of or pertaining to the Argentine Republic in South America."
argentry "Silver plate or vessels."
argilliferous "Producing clay; -- applied to such earths as abound with argil."
argillo-ferruginous "Containing clay and iron."
argillous "Argillaceous; clayey."
argoan "Pertaining to the ship Argo."
argoile "Potter's clay."
argonaut "A cephalopod of the genus Argonauta."
argonauta "A genus of Cephalopoda. The shell is called paper nautilus or paper sailor."
argonautic "Of or pertaining to the Argonauts."
argosies "of Argosy"
arguable "Capable of being argued; admitting of debate."
argued "of Argue"
arguing "of Argue"
argue "To blame; to accuse; to charge with."
arguer "One who argues; a reasoner; a disputant."
argufy "To argue pertinaciously."
argument "Proof; evidence."
argumentable "Admitting of argument."
argumentation "Debate; discussion."
argumentize "To argue or discuss."
argus "One very vigilant; a guardian always watchful."
argus-eyed "Extremely observant; watchful; sharp-sighted."
argutation "Caviling; subtle disputation."
argute "Sharp; shrill."
argutely "In a subtle; shrewdly."
arguteness "Acuteness."
arhizal "Alt. of Arhythmous"
arhizous "Alt. of Arhythmous"
arhythmic "Alt. of Arhythmous"
aria "An air or song; a melody; a tune."
arian "See Aryan."
arianism "The doctrines of the Arians."
arianize "To admit or accept the tenets of the Arians; to become an Arian."
arid "Exhausted of moisture; parched with heat; dry; barren."
aridities "of Aridity"
aridity "The state or quality of being arid or without moisture; dryness."
aridness "Aridity; dryness."
ariel "Alt. of Ariel gazelle"
aries "A battering-ram."
arietation "The act of butting like a ram; act of using a battering-ram."
arietta "Alt. of Ariette"
aril "Alt. of Arillus"
arillate "Alt. of Ariled"
arllated "Alt. of Ariled"
ariled "Having an aril."
ariman "See Ahriman."
ariolation "A soothsaying; a foretelling."
arioso "In the smooth and melodious style of an air; ariose."
arose "of Arise"
arising "of Arise"
arisen "of Arise"
arise "To proceed; to issue; to spring."
arista "An awn."
aristarch "A severe critic."
aristarchian "Severely critical."
aristarchy "Severely criticism."
aristocracies "of Aristocracy"
aristocracy "Government by the best citizens."
aristocrat "One of the aristocracy or people of rank in a community; one of a ruling class; a noble."
aristocratic "Alt. of Aristocratical"
aristocratism "The principles of aristocrats."
aristology "The science of dining."
aristotelian "A follower of Aristotle; a Peripatetic. See Peripatetic."
aristotelic "Pertaining to Aristotle or to his philosophy."
aristotle's "lantern The five united jaws and accessory ossicles of certain sea urchins."
aristulate "Having a short beard or awn."
arithmancy "Divination by means of numbers."
arithmetic "The science of numbers; the art of computation by figures."
arithmetical "Of or pertaining to arithmetic; according to the rules or method of arithmetic."
arithmetically "Conformably to the principles or methods of arithmetic."
arithmetician "One skilled in arithmetic."
arithmomancy "Arithmancy."
arithmometer "A calculating machine."
ark "A large flatboat used on Western American rivers to transport produce to market."
arkite "Belonging to the ark."
arles "An earnest; earnest money; money paid to bind a bargain."
arm "Anything resembling an arm"
armed "of Arm"
arming "of Arm"
armadillos "of Armadillo"
armadillo "A genus of small isopod Crustacea that can roll themselves into a ball."
armado "Armada."
armament "A body of forces equipped for war; -- used of a land or naval force."
armamentary "An armory; a magazine or arsenal."
armchair "A chair with arms to support the elbows or forearms."
armenian "Of or pertaining to Armenia."
armfulus "of Armful"
armful "As much as the arm can hold."
armgaunt "With gaunt or slender legs. "
arm-gret "Great as a man's arm."
armhole "The cavity under the shoulder; the armpit."
armiferous "Bearing arms or weapons."
armigerous "Bearing arms."
armil "A bracelet."
armillas "of Armilla"
armillae "of Armilla"
armilla "An armil."
arminianism "The religious doctrines or tenets of the Arminians."
armipotence "Power in arms."
armipotent "Powerful in arms; mighty in battle."
armisonant "Alt. of Armisonous"
armisonous "Rustling in arms; resounding with arms."
armless "Without any arm or branch."
armlet "An arm ring; a bracelet for the upper arm."
armoniac "Ammoniac."
armor "Defensive arms for the body; any clothing or covering worn to protect one's person in battle."
armor-bearer "One who carries the armor or arms of another; an armiger."
armored "Clad with armor."
armorer "One who makes or repairs armor or arms."
armoric "Alt. of Armorican"
armorican "A native of Armorica."
armorist "One skilled in coat armor or heraldry."
armories "of Armory"
armory "A place where arms and instruments of war are deposited for safe keeping."
